student_id,subject_title,instructor_name,evaluation_date,score_value,final_score,status_pass_fail
1,Arabic,Ahmed Zaki,2023-10-01,3,41,Passed
1,English,Mona Fathy,2023-10-02,5,41,Passed
1,Sport,Amr Helmy,2023-10-03,3,41,Passed
1,Religion,Eman Hassan,2023-10-04,3,41,Passed
1,Arabic,Ahmed Zaki,2023-10-08,4,41,Passed
1,English,Mona Fathy,2023-10-09,5,41,Passed
1,Sport,Amr Helmy,2023-10-10,4,41,Passed
1,Religion,Eman Hassan,2023-10-11,3,41,Passed
1,Arabic,Ahmed Zaki,2023-10-15,3,41,Passed
1,English,Mona Fathy,2023-10-16,4,41,Passed
1,Sport,Amr Helmy,2023-10-17,4,41,Passed
1,Religion,Eman Hassan,2023-10-18,4,41,Passed
1,Arabic,Ahmed Zaki,2023-10-22,5,41,Passed
1,English,Mona Fathy,2023-10-23,5,41,Passed
1,Sport,Amr Helmy,2023-10-24,4,41,Passed
1,Religion,Eman Hassan,2023-10-25,4,41,Passed
1,Arabic,Ahmed Zaki,2023-10-29,4,41,Passed
1,English,Mona Fathy,2023-10-30,4,41,Passed
1,Sport,Amr Helmy,2023-10-31,4,41,Passed
1,Religion,Eman Hassan,2023-11-01,4,41,Passed
1,Arabic,Ahmed Zaki,2023-11-05,4,41,Passed
1,English,Mona Fathy,2023-11-06,5,41,Passed
1,Sport,Amr Helmy,2023-11-07,3,41,Passed
1,Religion,Eman Hassan,2023-11-08,4,41,Passed
1,Arabic,Ahmed Zaki,2023-11-12,5,41,Passed
1,English,Mona Fathy,2023-11-13,5,41,Passed
1,Sport,Amr Helmy,2023-11-14,4,41,Passed
1,Religion,Eman Hassan,2023-11-15,4,41,Passed
1,Arabic,Ahmed Zaki,2023-11-19,3,41,Passed
1,English,Mona Fathy,2023-11-20,5,41,Passed
1,Sport,Amr Helmy,2023-11-21,3,41,Passed
1,Religion,Eman Hassan,2023-11-22,5,41,Passed
1,Arabic,Ahmed Zaki,2023-11-26,3,41,Passed
1,English,Mona Fathy,2023-11-27,5,41,Passed
1,Sport,Amr Helmy,2023-11-28,4,41,Passed
1,Religion,Eman Hassan,2023-11-29,3,41,Passed
1,Arabic,Ahmed Zaki,2023-12-03,4,41,Passed
1,English,Mona Fathy,2023-12-04,5,41,Passed
1,Sport,Amr Helmy,2023-12-05,3,41,Passed
1,Religion,Eman Hassan,2023-12-06,4,41,Passed
1,Arabic,Ahmed Zaki,2023-12-10,4,41,Passed
1,English,Mona Fathy,2023-12-11,5,41,Passed
1,Sport,Amr Helmy,2023-12-12,3,41,Passed
1,Religion,Eman Hassan,2023-12-13,4,41,Passed
1,Arabic,Ahmed Zaki,2023-12-17,4,41,Passed
1,English,Mona Fathy,2023-12-18,5,41,Passed
1,Sport,Amr Helmy,2023-12-19,3,41,Passed
1,Religion,Eman Hassan,2023-12-20,4,41,Passed
1,Arabic,Ahmed Zaki,2024-02-09,4,41,Passed
1,English,Mona Fathy,2024-02-10,5,41,Passed
1,Sport,Amr Helmy,2024-02-11,3,41,Passed
1,Religion,Eman Hassan,2024-02-12,4,41,Passed
1,Arabic,Ahmed Zaki,2024-02-16,4,41,Passed
1,English,Mona Fathy,2024-02-17,5,41,Passed
1,Sport,Amr Helmy,2024-02-18,4,41,Passed
1,Religion,Eman Hassan,2024-02-19,5,41,Passed
1,Arabic,Ahmed Zaki,2024-02-23,5,41,Passed
1,English,Mona Fathy,2024-02-24,4,41,Passed
1,Sport,Amr Helmy,2024-02-25,4,41,Passed
1,Religion,Eman Hassan,2024-02-26,5,41,Passed
1,Arabic,Ahmed Zaki,2024-03-01,4,41,Passed
1,English,Mona Fathy,2024-03-02,5,41,Passed
1,Sport,Amr Helmy,2024-03-03,4,41,Passed
1,Religion,Eman Hassan,2024-03-04,3,41,Passed
1,Arabic,Ahmed Zaki,2024-03-08,3,41,Passed
1,English,Mona Fathy,2024-03-09,5,41,Passed
1,Sport,Amr Helmy,2024-03-10,3,41,Passed
1,Religion,Eman Hassan,2024-03-11,4,41,Passed
1,Arabic,Ahmed Zaki,2024-03-15,3,41,Passed
